participant_id,group,topic,interface,veracity,rating,prior_knowledge
P_G1_20,1,Matcha,Binary,True,8,2
P_G1_20,1,Quantum,PDI,True,10,1
P_G1_21,1,Silk,Control,Hallucinated,7,3
P_G1_21,1,Matcha,Binary,True,8,2
P_G1_21,1,Quantum,PDI,True,9,1
P_G1_22,1,Silk,Control,Hallucinated,8,2
P_G1_22,1,Matcha,Binary,True,6,3
P_G1_22,1,Quantum,PDI,True,9,2
P_G1_23,1,Silk,Control,Hallucinated,8,1
P_G1_23,1,Matcha,Binary,True,3,1
P_G1_23,1,Quantum,PDI,True,9,1
P_G1_24,1,Silk,Control,Hallucinated,10,2
P_G1_24,1,Matcha,Binary,True,6,1
P_G1_24,1,Quantum,PDI,True,8,1
P_G1_25,1,Silk,Control,Hallucinated,9,1
P_G1_25,1,Matcha,Binary,True,10,2
P_G1_25,1,Quantum,PDI,True,10,1
P_G1_26,1,Silk,Control,Hallucinated,6,2
P_G1_26,1,Matcha,Binary,True,8,4
P_G1_26,1,Quantum,PDI,True,10,5
P_G1_27,1,Silk,Control,Hallucinated,4,2
P_G1_27,1,Matcha,Binary,True,7,1
P_G1_27,1,Quantum,PDI,True,5,1
P_G2_01,2,Silk,Binary,True,8,1
P_G2_01,2,Matcha,PDI,Hallucinated,7,1
P_G2_01,2,Quantum,Control,True,5,1
P_G2_02,2,Silk,Binary,True,7,1
P_G2_02,2,Matcha,PDI,Hallucinated,2,1
P_G2_02,2,Quantum,Control,True,5,1
P_G2_03,2,Silk,Binary,True,8,1
P_G2_03,2,Matcha,PDI,Hallucinated,5,1
P_G2_03,2,Quantum,Control,True,0,1
P_G2_04,2,Silk,Binary,True,6,3
P_G2_04,2,Matcha,PDI,Hallucinated,5,1
P_G2_04,2,Quantum,Control,True,7,3
P_G2_05,2,Silk,Binary,True,6,2
P_G2_05,2,Matcha,PDI,Hallucinated,2,2
P_G2_05,2,Quantum,Control,True,7,3
P_G2_06,2,Silk,Binary,True,6,3
P_G2_06,2,Matcha,PDI,Hallucinated,5,3
P_G2_06,2,Quantum,Control,True,4,1
P_G2_07,2,Silk,Binary,True,6,1
P_G2_07,2,Matcha,PDI,Hallucinated,4,1
P_G2_07,2,Quantum,Control,True,6,1
P_G2_08,2,Silk,Binary,True,6,2
P_G2_08,2,Matcha,PDI,Hallucinated,6,1
P_G2_08,2,Quantum,Control,True,4,2
P_G2_09,2,Silk,Binary,True,7,1
P_G2_09,2,Matcha,PDI,Hallucinated,0,1
P_G2_09,2,Quantum,Control,True,7,1
P_G2_10,2,Silk,Binary,True,5,1
P_G2_10,2,Matcha,PDI,Hallucinated,6,1
P_G2_10,2,Quantum,Control,True,3,1
P_G2_11,2,Silk,Binary,True,7,3
P_G2_11,2,Matcha,PDI,Hallucinated,6,4
P_G2_11,2,Quantum,Control,True,6,4
P_G2_12,2,Silk,Binary,True,8,1
P_G2_12,2,Matcha,PDI,Hallucinated,1,1
P_G2_12,2,Quantum,Control,True,8,2
P_G2_13,2,Silk,Binary,True,10,3
P_G2_13,2,Matcha,PDI,Hallucinated,2,3
P_G2_13,2,Quantum,Control,True,10,4
P_G2_14,2,Silk,Binary,True,8,1
P_G2_14,2,Matcha,PDI,Hallucinated,3,1
P_G2_14,2,Quantum,Control,True,9,2
P_G2_15,2,Silk,Binary,True,3,4
P_G2_15,2,Matcha,PDI,Hallucinated,3,2
P_G2_15,2,Quantum,Control,True,9,2
P_G2_16,2,Silk,Binary,True,7,2
P_G2_16,2,Matcha,PDI,Hallucinated,5,3
P_G2_16,2,Quantum,Control,True,3,1
P_G2_17,2,Silk,Binary,True,8,1
P_G2_17,2,Matcha,PDI,Hallucinated,9,1
P_G2_17,2,Quantum,Control,True,0,1
P_G2_18,2,Silk,Binary,True,5,1
P_G2_18,2,Matcha,PDI,Hallucinated,2,2
P_G2_18,2,Quantum,Control,True,5,1
P_G2_19,2,Silk,Binary,True,8,3
P_G2_19,2,Matcha,PDI,Hallucinated,3,1
P_G2_19,2,Quantum,Control,True,6,3
P_G2_20,2,Silk,Binary,True,8,3
P_G2_20,2,Matcha,PDI,Hallucinated,2,1
P_G2_20,2,Quantum,Control,True,5,1
P_G2_21,2,Silk,Binary,True,2,2
P_G2_21,2,Matcha,PDI,Hallucinated,0,1
P_G2_21,2,Quantum,Control,True,0,1
P_G2_22,2,Silk,Binary,True,10,2
P_G2_22,2,Matcha,PDI,Hallucinated,9,1
P_G2_22,2,Quantum,Control,True,8,1
P_G2_23,2,Silk,Binary,True,7,1
P_G2_23,2,Matcha,PDI,Hallucinated,7,1
P_G2_23,2,Quantum,Control,True,7,1
P_G2_24,2,Silk,Binary,True,9,3
P_G2_24,2,Matcha,PDI,Hallucinated,5,2
P_G2_24,2,Quantum,Control,True,9,3
P_G2_25,2,Silk,Binary,True,2,1
P_G2_25,2,Matcha,PDI,Hallucinated,4,1
P_G2_25,2,Quantum,Control,True,5,1
P_G2_26,2,Silk,Binary,True,10,3
P_G2_26,2,Matcha,PDI,Hallucinated,1,1
P_G2_26,2,Quantum,Control,True,9,1
P_G2_27,2,Silk,Binary,True,7,1
P_G2_27,2,Matcha,PDI,Hallucinated,2,1
P_G2_27,2,Quantum,Control,True,9,3
P_G3_01,3,Silk,PDI,True,8,1
P_G3_01,3,Matcha,Control,Hallucinated,5,1
P_G3_01,3,Quantum,Binary,Hallucinated,4,2
P_G3_02,3,Silk,PDI,True,10,3
P_G3_02,3,Matcha,Control,Hallucinated,7,2
P_G3_02,3,Quantum,Binary,Hallucinated,5,1
P_G3_03,3,Silk,PDI,True,7,3
P_G3_03,3,Matcha,Control,Hallucinated,6,2
P_G3_03,3,Quantum,Binary,Hallucinated,6,2
P_G3_04,3,Silk,PDI,True,8,1
P_G3_04,3,Matcha,Control,Hallucinated,5,1
P_G3_04,3,Quantum,Binary,Hallucinated,6,1
P_G3_05,3,Silk,PDI,True,7,1
P_G3_05,3,Matcha,Control,Hallucinated,7,1
P_G3_05,3,Quantum,Binary,Hallucinated,3,1
P_G3_06,3,Silk,PDI,True,6,1
P_G3_06,3,Matcha,Control,Hallucinated,8,2
P_G3_06,3,Quantum,Binary,Hallucinated,4,1
P_G3_07,3,Silk,PDI,True,1,1
P_G3_07,3,Matcha,Control,Hallucinated,7,2
P_G3_07,3,Quantum,Binary,Hallucinated,5,2
P_G3_08,3,Silk,PDI,True,9,3
P_G3_08,3,Matcha,Control,Hallucinated,5,2
P_G3_08,3,Quantum,Binary,Hallucinated,5,1
P_G3_09,3,Silk,PDI,True,5,5
P_G3_09,3,Matcha,Control,Hallucinated,7,2
P_G3_09,3,Quantum,Binary,Hallucinated,6,3
P_G3_10,3,Silk,PDI,True,9,2
P_G3_10,3,Matcha,Control,Hallucinated,7,1
P_G3_10,3,Quantum,Binary,Hallucinated,8,2
P_G3_11,3,Silk,PDI,True,8,1
P_G3_11,3,Matcha,Control,Hallucinated,5,1
P_G3_11,3,Quantum,Binary,Hallucinated,3,1
P_G3_12,3,Silk,PDI,True,8,3
P_G3_12,3,Matcha,Control,Hallucinated,7,3
P_G3_12,3,Quantum,Binary,Hallucinated,7,4
P_G3_13,3,Silk,PDI,True,10,2
P_G3_13,3,Matcha,Control,Hallucinated,5,2
P_G3_13,3,Quantum,Binary,Hallucinated,10,1
P_G3_14,3,Silk,PDI,True,10,4
P_G3_14,3,Matcha,Control,Hallucinated,5,1
P_G3_14,3,Quantum,Binary,Hallucinated,10,4
P_G3_15,3,Silk,PDI,True,9,2
P_G3_15,3,Matcha,Control,Hallucinated,2,1
P_G3_15,3,Quantum,Binary,Hallucinated,0,2
P_G3_16,3,Silk,PDI,True,7,4
P_G3_16,3,Matcha,Control,Hallucinated,6,2
P_G3_16,3,Quantum,Binary,Hallucinated,6,3
P_G3_17,3,Silk,PDI,True,9,2
P_G3_17,3,Matcha,Control,Hallucinated,7,1
P_G3_17,3,Quantum,Binary,Hallucinated,7,1
P_G3_18,3,Silk,PDI,True,10,4
P_G3_18,3,Matcha,Control,Hallucinated,5,3
P_G3_18,3,Quantum,Binary,Hallucinated,10,4
P_G3_19,3,Silk,PDI,True,9,1
P_G3_19,3,Matcha,Control,Hallucinated,4,1
P_G3_19,3,Quantum,Binary,Hallucinated,4,1
P_G3_20,3,Silk,PDI,True,8,3
P_G3_20,3,Matcha,Control,Hallucinated,3,2
P_G3_20,3,Quantum,Binary,Hallucinated,6,4
P_G3_21,3,Silk,PDI,True,10,2
P_G3_21,3,Matcha,Control,Hallucinated,10,2
P_G3_21,3,Quantum,Binary,Hallucinated,3,2
P_G3_22,3,Silk,PDI,True,10,1
P_G3_22,3,Matcha,Control,Hallucinated,5,1
P_G3_22,3,Quantum,Binary,Hallucinated,0,4
P_G3_23,3,Silk,PDI,True,10,3
P_G3_23,3,Matcha,Control,Hallucinated,9,3
P_G3_23,3,Quantum,Binary,Hallucinated,0,1
P_G3_24,3,Silk,PDI,True,10,2
P_G3_24,3,Matcha,Control,Hallucinated,4,3
P_G3_24,3,Quantum,Binary,Hallucinated,1,4
P_G3_25,3,Silk,PDI,True,4,2
P_G3_25,3,Matcha,Control,Hallucinated,7,4
P_G3_25,3,Quantum,Binary,Hallucinated,8,3
P_G3_26,3,Silk,PDI,True,5,1
P_G3_26,3,Matcha,Control,Hallucinated,8,2
P_G3_26,3,Quantum,Binary,Hallucinated,5,1
P_G3_27,3,Silk,PDI,True,9,3
P_G3_27,3,Matcha,Control,Hallucinated,4,2
P_G3_27,3,Quantum,Binary,Hallucinated,4,1
